,Close,pct_change,uret_price
Date,,,
2015-11-23,NaN,1.00661,NaN
2015-11-24,NaN,1.003468,NaN
2015-11-25,NaN,1.009597,NaN
2015-11-26,NaN,1.005637,NaN
2015-11-30,NaN,0.989732,NaN
2015-12-01,NaN,1.006425,NaN
2015-12-02,24.92,0.994644,NaN
2015-12-03,24.370001,0.98223,24.47716
2015-12-04,24.92,1.021137,24.885101
2015-12-07,24.469999,0.991203,24.700783
2015-12-08,24.540001,1.002586,24.533289
2015-12-09,24.129999,0.982979,24.122303
2015-12-10,24.17,0.999623,24.120901
